ProductID,ProductName,ProductDescription,BrandName,ProductNumber,Color,ProductModel,ProductCategoryID,CategoryName,ListPrice,StandardCost,Weight,WeightUom,ProductStatus,CreatedDate,SellStartDate,SellEndDate,IsoCurrencyCode,UpdatedDate,CreatedBy,UpdatedBy,GoldLoadTimestamp
1,"HL Road Frame - Black, 58","HL Road Frame - Black, 58",Contoso Outdoor,None,Black,None,18,Road Frames,1431.50,1059.31,1016.04,None,active,1/10/2018,3/1/2018,None,USD,8/18/2025,SampleGen,SampleGen,2025-08-26 22:35:41.496602
2,"HL Road Frame - Red, 58","HL Road Frame - Red, 58",Contoso Outdoor,None,Red,None,18,Road Frames,1431.50,1059.31,1016.04,None,active,1/10/2018,3/1/2018,None,USD,8/18/2025,SampleGen,SampleGen,2025-08-26 22:35:41.496602
3,"Sport-100 Helmet, Red","Sport-100 Helmet, Red",Contoso Outdoor,None,Red,None,35,Helmets,34.99,13.09,None,None,active,1/10/2018,3/1/2018,None,USD,8/18/2025,SampleGen,SampleGen,2025-08-26 22:35:41.496602
4,"Sport-100 Helmet, Black","Sport-100 Helmet, Black",Contoso Outdoor,None,Black,None,35,Helmets,34.99,13.09,None,None,active,1/10/2018,3/1/2018,None,USD,8/18/2025,SampleGen,SampleGen,2025-08-26 22:35:41.496602
5,"Mountain Bike Socks, M","Mountain Bike Socks, M",Contoso Outdoor,None,White,None,27,Socks,9.50,3.40,None,None,active,1/10/2018,3/1/2018,None,USD,8/18/2025,SampleGen,SampleGen,2025-08-26 22:35:41.496602
6,"Mountain Bike Socks, L","Mountain Bike Socks, L",Contoso Outdoor,None,White,None,27,Socks,9.50,3.40,None,None,active,1/10/2018,3/1/2018,None,USD,8/18/2025,SampleGen,SampleGen,2025-08-26 22:35:41.496602
7,"Sport-100 Helmet, Blue","Sport-100 Helmet, Blue",Contoso Outdoor,None,Blue,None,35,Helmets,34.99,13.09,None,None,active,1/10/2018,3/1/2018,None,USD,8/18/2025,SampleGen,SampleGen,2025-08-26 22:35:41.496602
8,AWC Logo Cap,AWC Logo Cap,Contoso Outdoor,None,Multi,None,23,Caps,8.99,6.92,None,None,active,1/10/2018,3/1/2018,None,USD,8/18/2025,SampleGen,SampleGen,2025-08-26 22:35:41.496602
9,"Long-Sleeve Logo Jersey, S","Long-Sleeve Logo Jersey, S",Contoso Outdoor,None,Multi,None,25,Jerseys,49.99,38.49,None,None,active,1/10/2018,3/1/2018,None,USD,8/18/2025,SampleGen,SampleGen,2025-08-26 22:35:41.496602
10,"Long-Sleeve Logo Jersey, M","Long-Sleeve Logo Jersey, M",Contoso Outdoor,None,Multi,None,25,Jerseys,49.99,38.49,None,None,active,1/10/2018,3/1/2018,None,USD,8/18/2025,SampleGen,SampleGen,2025-08-26 22:35:41.496602
