CustomerId,CustomerTypeId,TradeNameId,TradeName,PeriodStartDate,PeriodEndDate,CustomerTradeNameNote,UpdatedBy
CID-002,Government,TN-001,Ganymede Municipal Office,2018-08-17,2020-05-24,Generated government trade name for compliance testing,Source_Data_Loader
CID-003,Business,TN-002,Contoso Group,2019-04-03,,Generated business trade name for compliance testing,Source_Data_Loader
CID-008,Business,TN-003,Contoso Enterprises,2021-10-17,,Generated business trade name for compliance testing,Source_Data_Loader
CID-010,Business,TN-004,Contoso Solutions,2021-04-24,,Generated business trade name for compliance testing,Source_Data_Loader
CID-012,Government,TN-005,Planet Mars Authority,2018-07-11,,Generated government trade name for compliance testing,Source_Data_Loader
CID-013,Business,TN-006,Contoso Corp,2021-02-23,,Generated business trade name for compliance testing,Source_Data_Loader
CID-026,Business,TN-007,Fabrikam Solutions,2019-03-28,,Generated business trade name for compliance testing,Source_Data_Loader
CID-034,Government,TN-008,Neptune State Agency,2018-01-14,,Generated government trade name for compliance testing,Source_Data_Loader
CID-035,Government,TN-009,Saturn Municipal Services,2021-11-30,,Generated government trade name for compliance testing,Source_Data_Loader
CID-036,Business,TN-010,Fabrikam Inc,2018-11-15,,Generated business trade name for compliance testing,Source_Data_Loader
CID-044,Government,TN-011,Mercury City Government,2018-07-29,,Generated government trade name for compliance testing,Source_Data_Loader
CID-051,Government,TN-012,Jupiter Department of Commerce,2020-01-06,,Generated government trade name for compliance testing,Source_Data_Loader
CID-052,Business,TN-013,Fabrikam Inc,2018-03-30,,Generated business trade name for compliance testing,Source_Data_Loader
CID-053,Government,TN-014,Europa Space Authority,2018-09-13,,Generated government trade name for compliance testing,Source_Data_Loader
CID-054,Business,TN-015,Fabrikam Manufacturing,2018-06-11,,Generated business trade name for compliance testing,Source_Data_Loader
CID-056,Government,TN-016,Ganymede Municipal Office,2021-06-20,,Generated government trade name for compliance testing,Source_Data_Loader
CID-063,Business,TN-017,Fabrikam Technologies,2021-03-28,,Generated business trade name for compliance testing,Source_Data_Loader
CID-068,Business,TN-018,Contoso Solutions,2018-04-04,,Generated business trade name for compliance testing,Source_Data_Loader
