outage_id,node_id,start_date,duration_hours,severity
OUT00001,NODE0159,2024-01-06,21,Major
OUT00002,NODE0152,2023-12-04,51,Major
OUT00003,NODE0198,2023-12-18,2,Critical
OUT00004,NODE0167,2024-02-28,1,Minor
OUT00005,NODE0079,2024-02-06,5,Minor
OUT00006,NODE0010,2024-03-05,63,Major
OUT00007,NODE0103,2024-02-03,18,Minor
OUT00008,NODE0009,2023-10-07,39,Major
OUT00009,NODE0126,2024-03-21,28,Minor
OUT00010,NODE0063,2024-01-27,64,Minor
OUT00011,NODE0180,2024-02-11,4,Major
OUT00012,NODE0155,2024-03-11,55,Major
OUT00013,NODE0071,2023-10-23,32,Major
OUT00014,NODE0030,2024-03-14,17,Minor
OUT00015,NODE0139,2023-10-29,19,Minor
OUT00016,NODE0157,2024-03-29,52,Critical
OUT00017,NODE0191,2023-11-15,29,Minor
OUT00018,NODE0034,2023-10-16,46,Major
OUT00019,NODE0015,2023-10-06,8,Major
OUT00020,NODE0062,2024-01-24,55,Minor
OUT00021,NODE0141,2023-12-11,70,Minor
OUT00022,NODE0084,2024-03-13,14,Critical
OUT00023,NODE0016,2023-11-12,18,Minor
OUT00024,NODE0156,2023-10-12,18,Minor
OUT00025,NODE0118,2024-02-10,68,Major
OUT00026,NODE0156,2024-02-15,25,Minor
OUT00027,NODE0109,2023-10-29,65,Critical
OUT00028,NODE0195,2024-01-07,13,Minor
OUT00029,NODE0199,2023-11-10,39,Major
OUT00030,NODE0099,2023-10-17,25,Minor
OUT00031,NODE0172,2023-12-23,10,Major
OUT00032,NODE0033,2024-02-16,33,Minor
OUT00033,NODE0131,2024-01-04,9,Minor
OUT00034,NODE0052,2024-01-08,30,Minor
OUT00035,NODE0066,2023-12-23,11,Minor
OUT00036,NODE0056,2024-03-10,15,Critical
OUT00037,NODE0136,2023-10-18,41,Minor
OUT00038,NODE0040,2024-01-28,8,Critical
OUT00039,NODE0025,2023-12-26,43,Minor
OUT00040,NODE0142,2023-10-05,50,Major
OUT00041,NODE0080,2023-12-28,32,Major
OUT00042,NODE0164,2023-11-30,54,Minor
OUT00043,NODE0091,2024-03-15,31,Minor
OUT00044,NODE0025,2023-12-25,59,Major
OUT00045,NODE0129,2024-03-14,63,Major
OUT00046,NODE0111,2024-03-03,46,Critical
OUT00047,NODE0124,2024-02-04,43,Minor
OUT00048,NODE0135,2024-03-26,26,Minor
OUT00049,NODE0171,2023-11-03,54,Minor
OUT00050,NODE0098,2024-02-03,54,Minor
OUT00051,NODE0197,2023-12-06,23,Critical
OUT00052,NODE0053,2024-01-20,9,Major
OUT00053,NODE0139,2023-12-27,25,Major
OUT00054,NODE0161,2023-12-09,59,Minor
OUT00055,NODE0106,2024-01-20,25,Major
OUT00056,NODE0021,2023-11-04,5,Critical
OUT00057,NODE0040,2024-01-29,49,Minor
OUT00058,NODE0122,2024-02-14,1,Minor
OUT00059,NODE0023,2023-10-20,31,Minor
OUT00060,NODE0130,2024-02-16,50,Major
OUT00061,NODE0101,2024-03-03,40,Minor
OUT00062,NODE0164,2023-11-11,23,Minor
OUT00063,NODE0128,2023-12-29,8,Minor
OUT00064,NODE0060,2024-03-26,45,Minor
OUT00065,NODE0194,2024-01-23,10,Minor
OUT00066,NODE0064,2023-12-27,7,Minor
OUT00067,NODE0149,2024-02-03,48,Critical
OUT00068,NODE0183,2024-01-22,14,Critical
OUT00069,NODE0150,2024-02-17,16,Major
OUT00070,NODE0130,2024-03-28,48,Minor
OUT00071,NODE0056,2023-10-16,43,Minor
OUT00072,NODE0171,2024-02-28,41,Minor
OUT00073,NODE0039,2023-11-20,26,Minor
OUT00074,NODE0139,2023-12-23,38,Minor
OUT00075,NODE0154,2024-03-21,29,Minor
OUT00076,NODE0049,2023-11-27,62,Major
OUT00077,NODE0008,2024-01-01,42,Critical
OUT00078,NODE0058,2023-11-12,55,Minor
OUT00079,NODE0051,2024-03-16,65,Major
OUT00080,NODE0003,2024-01-14,60,Minor
OUT00081,NODE0159,2024-02-11,34,Critical
OUT00082,NODE0016,2023-12-07,71,Minor
OUT00083,NODE0174,2023-12-30,17,Critical
OUT00084,NODE0109,2023-12-14,42,Minor
OUT00085,NODE0107,2024-03-18,18,Minor
OUT00086,NODE0004,2024-02-29,19,Critical
OUT00087,NODE0004,2023-11-05,18,Major
OUT00088,NODE0114,2023-10-02,57,Minor
OUT00089,NODE0071,2024-01-08,72,Major
OUT00090,NODE0181,2023-12-05,42,Critical
OUT00091,NODE0056,2024-01-28,22,Minor
OUT00092,NODE0150,2023-11-23,43,Major
OUT00093,NODE0026,2024-01-01,14,Minor
OUT00094,NODE0083,2023-12-23,27,Minor
OUT00095,NODE0011,2023-11-26,38,Critical
OUT00096,NODE0012,2024-01-31,68,Critical
OUT00097,NODE0058,2023-11-06,61,Minor
OUT00098,NODE0040,2024-03-15,69,Minor
OUT00099,NODE0199,2024-03-20,1,Minor
OUT00100,NODE0057,2024-03-19,53,Major
OUT00101,NODE0155,2023-10-17,43,Minor
OUT00102,NODE0037,2024-02-27,47,Minor
OUT00103,NODE0115,2023-12-10,3,Minor
OUT00104,NODE0101,2024-01-21,59,Major
OUT00105,NODE0150,2024-02-04,49,Minor
OUT00106,NODE0133,2024-03-28,44,Major
OUT00107,NODE0003,2024-03-08,2,Critical
OUT00108,NODE0066,2024-03-22,22,Major
OUT00109,NODE0061,2024-01-06,63,Minor
OUT00110,NODE0137,2023-10-05,33,Major
OUT00111,NODE0062,2024-01-09,43,Critical
OUT00112,NODE0102,2023-11-27,44,Minor
OUT00113,NODE0073,2024-02-23,52,Minor
OUT00114,NODE0063,2023-10-19,12,Major
OUT00115,NODE0134,2024-01-05,52,Major
OUT00116,NODE0061,2023-10-27,13,Major
OUT00117,NODE0068,2023-10-27,7,Minor
OUT00118,NODE0032,2024-02-21,69,Major
OUT00119,NODE0011,2024-01-08,48,Minor
OUT00120,NODE0069,2023-10-10,41,Minor
OUT00121,NODE0170,2024-01-20,43,Critical
OUT00122,NODE0044,2024-01-15,40,Critical
OUT00123,NODE0037,2023-10-24,66,Minor
OUT00124,NODE0040,2023-11-14,20,Minor
OUT00125,NODE0127,2023-10-25,6,Minor
OUT00126,NODE0180,2023-10-23,8,Minor
OUT00127,NODE0176,2023-10-24,11,Major
OUT00128,NODE0141,2024-03-31,35,Major
OUT00129,NODE0197,2023-11-03,25,Minor
OUT00130,NODE0060,2024-02-16,13,Major
OUT00131,NODE0038,2023-11-09,63,Minor
OUT00132,NODE0093,2023-10-22,40,Minor
OUT00133,NODE0054,2023-12-08,44,Major
OUT00134,NODE0007,2024-01-03,4,Minor
OUT00135,NODE0128,2023-10-02,5,Minor
OUT00136,NODE0140,2024-02-08,26,Minor
OUT00137,NODE0161,2024-03-11,36,Minor
OUT00138,NODE0066,2024-03-27,13,Major
OUT00139,NODE0087,2023-10-05,17,Major
OUT00140,NODE0195,2024-01-23,18,Minor
OUT00141,NODE0136,2023-10-25,7,Minor
OUT00142,NODE0129,2024-03-09,39,Major
OUT00143,NODE0107,2023-10-24,36,Major
OUT00144,NODE0102,2023-12-26,25,Major
OUT00145,NODE0004,2024-03-21,15,Critical
OUT00146,NODE0019,2023-11-20,8,Critical
OUT00147,NODE0033,2024-01-31,28,Minor
OUT00148,NODE0086,2024-03-12,46,Minor
OUT00149,NODE0136,2023-10-29,18,Minor
OUT00150,NODE0146,2023-11-20,8,Minor
OUT00151,NODE0159,2023-12-02,7,Major
OUT00152,NODE0080,2024-03-24,20,Minor
OUT00153,NODE0146,2024-02-16,21,Critical
OUT00154,NODE0013,2023-12-26,61,Minor
OUT00155,NODE0072,2024-01-27,49,Minor
OUT00156,NODE0066,2024-01-12,10,Minor
